id,type,category,place,name
1,1,2,3,4
2,1,2,3,4
3,1,2,3,4
4,1,2,3,4
5,1,2,3,4
6,1,2,3,4
7,1,2,3,4
8,1,2,3,4
9,1,2,3,4
10,1,2,3,4
11,1,2,3,4
12,1,2,3,4
13,1,2,3,4
14,1,2,3,4
15,1,2,3,4
16,1,2,3,4
17,1,2,3,4
18,1,2,3,4
19,1,2,3,4
20,1,2,3,4
21,1,2,3,4
22,1,2,3,4
23,1,2,3,4
24,1,2,3,4
25,1,2,3,4
26,1,2,3,4
27,1,2,3,4
101,1,2,3,4
102,1,2,3,4
103,1,2,3,4
104,1,2,3,4
105,1,2,3,4
106,1,2,3,4
107,1,2,3,4
108,1,2,3,4
109,1,2,3,4
110,1,2,3,4
111,1,2,3,4
115,1,2,3,4
116,1,2,3,4
120,1,2,3,4
125,1,2,3,4
126,1,2,3,4
130,1,2,3,4
131,1,2,3,4
132,1,2,3,4
133,1,2,3,4
134,1,2,3,4
135,1,2,3,4
136,1,2,3,4
137,1,2,3,4
406,1,2,3,4
138,1,2,3,4
139,1,2,3,4
140,1,2,3,4
141,1,2,3,4
142,1,2,3,4
143,1,2,3,4
144,1,2,3,4
146,1,2,3,4
147,1,2,3,4
150,1,2,3,4
151,1,2,3,4
152,1,2,3,4
153,1,2,3,4
154,1,2,3,4
155,1,2,3,4
156,1,2,3,4
157,1,2,3,4
158,1,2,3,4
159,1,2,3,4
160,1,2,3,4
159,1,2,3,4
301,1,2,3,4
302,1,2,3,4
303,1,2,3,4
304,1,2,3,4
305,1,2,3,4
306,1,2,3,4
307,1,2,3,4
308,1,2,3,4
309,1,2,3,4
310,1,2,3,4
311,1,2,3,4
312,1,2,3,4
313,1,2,3,4
314,1,2,3,4
315,1,2,3,4
316,1,2,3,4
317,1,2,3,4
318,1,2,3,4
319,1,2,3,4
320,1,2,3,4
321,1,2,3,4
322,1,2,3,4
323,1,2,3,4
324,1,2,3,4
325,1,2,3,4
326,1,2,3,4
327,1,2,3,4
328,1,2,3,4
329,1,2,3,4
330,1,2,3,4
331,1,2,3,4
332,1,2,3,4
333,1,2,3,4
334,1,2,3,4
335,1,2,3,4
336,1,2,3,4
337,1,2,3,4
338,1,2,3,4
339,1,2,3,4
340,1,2,3,4
341,1,2,3,4
344,1,2,3,4
401,1,2,3,4
403,1,2,3,4
404,1,2,3,4
17,1,2,3,4
405,1,2,3,4
406,1,2,3,4
408,1,2,3,4
409,1,2,3,4
410,1,2,3,4
411,1,2,3,4
412,1,2,3,4
413,1,2,3,4
414,1,2,3,4
415,1,2,3,4
416,1,2,3,4
417,1,2,3,4
418,1,2,3,4
419,1,2,3,4
420,1,2,3,4
421,1,2,3,4
422,1,2,3,4
501,1,2,3,4
502,1,2,3,4
503,1,2,3,4
504,1,2,3,4
505,1,2,3,4
506,1,2,3,4
507,1,2,3,4
508,1,2,3,4
509,1,2,3,4
510,1,2,3,4
511,1,2,3,4
512,1,2,3,4
513,1,2,3,4
514,1,2,3,4
515,1,2,3,4
516,1,2,3,4
517,1,2,3,4
518,1,2,3,4
519,1,2,3,4
520,1,2,3,4
521,1,2,3,4
522,1,2,3,4
523,1,2,3,4
524,1,2,3,4
525,1,2,3,4
526,1,2,3,4
527,1,2,3,4
528,1,2,3,4
529,1,2,3,4
530,1,2,3,4
531,1,2,3,4
532,1,2,3,4
533,1,2,3,4
534,1,2,3,4
535,1,2,3,4
536,1,2,3,4
537,1,2,3,4
538,1,2,3,4
539,1,2,3,4
540,1,2,3,4
601,1,2,3,4
602,1,2,3,4
701,1,2,3,4
702,1,2,3,4
703,1,2,3,4
704,1,2,3,4
710,1,2,3,4
940,1,2,3,4
941,1,2,3,4
942,1,2,3,4
943,1,2,3,4
944,1,2,3,4
946,1,2,3,4
999,1,2,3,4
10001,1,2,3,4
